idx,port,byte,t0_ns,latency_ns
828,1,154,57772119922400,140
829,0,162,57772120561020,130
830,1,155,57772120922350,160
831,0,163,57772121560710,130
832,1,156,57772121922230,140
833,0,164,57772122560720,160
834,1,157,57772122922400,150
835,0,165,57772123560850,120
836,1,158,57772123922130,130
837,0,166,57772124560780,130
838,1,159,57772124922020,140
839,0,167,57772125560580,130
840,1,160,57772125921960,170
841,0,168,57772126560460,150
842,1,161,57772126922130,160
843,0,169,57772127560670,120
844,1,162,57772127922400,140
845,0,170,57772128560230,140
846,1,163,57772128922030,140
847,0,171,57772129560210,140
848,1,164,57772129921700,140
849,0,172,57772130560270,140
850,1,165,57772130921860,150
851,0,173,57772131560270,140
852,1,166,57772131921620,120
853,0,174,57772132559970,190
854,1,167,57772132921500,140
855,0,175,57772133560840,170
856,1,168,57772133921400,130
857,0,176,57772134560050,160
858,1,169,57772134921490,150
859,0,177,57772135559930,120
860,1,170,57772135921330,160
861,0,178,57772136559700,130
862,1,171,57772136921210,120
863,0,179,57772137559600,190
864,1,172,57772137921110,130
865,0,180,57772138559670,120
866,1,173,57772138921340,200
867,0,181,57772139559820,130
868,1,174,57772139921050,140
869,0,182,57772140559540,130
870,1,175,57772140920950,130
871,0,183,57772141560250,200
872,1,176,57772141921820,140
873,0,184,57772142559470,140
874,1,177,57772142921050,150
875,0,185,57772143559710,140
876,1,178,57772143920850,140
877,0,186,57772144559390,130
878,1,179,57772144920930,140
879,0,187,57772145559170,140
880,1,180,57772145920580,170
881,0,188,57772146559610,160
882,1,181,57772146920980,160
883,0,189,57772147559470,120
884,1,182,57772147920480,150
885,0,190,57772148558860,140
886,1,183,57772148920400,140
887,0,191,57772149558760,130
888,1,184,57772149920320,130
889,0,192,57772150559000,170
890,1,185,57772150920580,180
891,0,193,57772151558930,170
892,1,186,57772151920210,120
893,0,194,57772152558630,130
894,1,187,57772152920110,120
895,0,195,57772153558540,140
896,1,188,57772153920050,150
897,0,196,57772154558650,160
898,1,189,57772154920190,120
899,0,197,57772155558650,130
900,1,190,57772155919940,130
901,0,198,57772156558350,160
902,1,191,57772156919830,140
903,0,199,57772157558230,140
904,1,192,57772157919750,140
905,0,200,57772158558310,160
906,1,193,57772158919980,150
907,0,201,57772159558370,120
908,1,194,57772159919670,140
909,0,202,57772160558020,130
910,1,195,57772160919570,130
911,0,203,57772161558520,150
912,1,196,57772161919920,130
913,0,204,57772162558030,160
914,1,197,57772162919720,160
915,0,205,57772163558710,110
916,1,198,57772163919550,140
917,0,206,57772164559180,150
918,1,199,57772164919750,130
919,0,207,57772165557760,140
920,1,200,57772165919430,140
921,0,208,57772166558070,170
922,1,201,57772166919510,160
923,0,209,57772167557940,120
924,1,202,57772167919090,140
925,0,210,57772168557550,140
926,1,203,57772168919060,120
927,0,211,57772169557440,140
928,1,204,57772169918980,120
929,0,212,57772170557490,140
930,1,205,57772170919130,170
931,0,213,57772171557860,170
932,1,206,57772171918930,130
933,0,214,57772172557640,130
934,1,207,57772172918780,140
935,0,215,57772173557210,130
936,1,208,57772173918720,140
937,0,216,57772174557390,140
938,1,209,57772174918900,160
939,0,217,57772175557360,120
940,1,210,57772175918610,130
941,0,218,57772176557610,170
942,1,211,57772176918510,130
943,0,219,57772177557290,130
944,1,212,57772177918400,130
945,0,220,57772178556920,150
946,1,213,57772178918510,130
947,0,221,57772179557200,120
